Card#,Artist,Title,URL,Hashed Info,Youtube-Title,Year,Offset
1,Kim Wilde,You Came,https://www.youtube.com/watch?v=P6Agwu_5J14,,Kim Wilde - You Came (Official Music Video),1988,
2,La Bouche,Sweet Dreams,https://www.youtube.com/watch?v=b9McVO9hpUE,,La Bouche - Sweet dreams (Official Video),1994,
3,Frank Sinatra,Love And Marriage,https://www.youtube.com/watch?v=tKjGdLeK2k4,,Love And Marriage,1955,
4,Sam Cooke,Twistin' the Night Away,https://www.youtube.com/watch?v=QroJjYr_sAQ,,Twistin' the Night Away - Sam Cooke (1962) Stereo.,1962,
5,Gossip,Heavy Cross,https://www.youtube.com/watch?v=5mQVljB7JGw,,Gossip - Heavy Cross (Official Video),2009,
6,Harry Chapin,Cat's in the Cradle,https://www.youtube.com/watch?v=5u-KWa3tL-0,,Harry Chapin - Cat's In The Cradle (Official Lyric Video),1974,
7,Sunrise Avenue,Fairytale Gone Bad,https://www.youtube.com/watch?v=OUyfQLd3bCs,,Sunrise Avenue - Fairytale Gone Bad (Official Video),2006,
8,OMD,Maid of Orleans - Live,https://www.youtube.com/watch?v=xy-Q8LZcaiA,,Orchestral Manoeuvres in the Dark - Maid of Orleans (Joan of Arc)- Official live,1981,
9,S.T.S,Fürstenfeld,https://www.youtube.com/watch?v=FpRmP0XUVcA,,S.T.S - Fürstenfeld,1984,
10,Bee Gees,Secret Love,https://www.youtube.com/watch?v=iVseOSFTGAw,,Bee Gees - Secret Love,1991,
11,The J. Geils Band,Centerfold,https://www.youtube.com/watch?v=BqDjMZKf-wg,,The J. Geils Band - Centerfold (Official Music Video),1981,
12,Mathou,You Never Walk Alone,https://www.youtube.com/watch?v=8YbUyjt_MQQ,,Mathou - You'll Never Walk Alone,1992,
13,David Bowie,Ashes To Ashes,https://www.youtube.com/watch?v=HyMm4rJemtI,,David Bowie - Ashes To Ashes (Official Video),1980,
14,Ava Max,Sweet but Psycho,https://www.youtube.com/watch?v=DeRMg_AUZJg,,Ava Max - Sweet but Psycho ( Lyrics ),2018,
15,Katie Melua,Nine Million Bicycles,https://www.youtube.com/watch?v=rrPUJsZQSkw,,Katie Melua - Nine Million Bicycles,2005,
16,Lady Gaga,Alejandro,https://www.youtube.com/watch?v=niqrrmev4mA,,Lady Gaga - Alejandro (Official Music Video),2010,
17,Status Quo,What You're Proposing,https://www.youtube.com/watch?v=9sivblqJGN4,,Status Quo - What You're Proposing TopPop,1980,
18,Pet Shop Boys,Suburbia,https://www.youtube.com/watch?v=-VCqAjYO3NM,,Pet Shop Boys - Suburbia,1986,
19,Karl Jenkins,Adiemus,https://www.youtube.com/watch?v=u2ZLeSkaezM,,Karl Jenkins - Adiemus (Official Music Video) HQ-HD,1995,
20,Joe Cocker,You Can Leave Your Hat On,https://www.youtube.com/watch?v=4b04jq7NB1s,,Joe Cocker - You Can Leave Your Hat On (Official Video),1986,
21,Green Day,Wake Me up When September Ends,https://www.youtube.com/watch?v=pGhwBFYtn1s,,Green Day - Wake Me Up When September Ends (Official Audio),2004,
22,Wings,Mull Of Kintyre,https://www.youtube.com/watch?v=Plhtk_XJqhM,,Wings - Mull Of Kintyre,1977,
23,Jon Bon Jovi,Blaze Of Glory,https://www.youtube.com/watch?v=MfmYCM4CS8o,,Jon Bon Jovi - Blaze Of Glory (Official Music Video),1990,
24,Rihanna,Diamonds,https://www.youtube.com/watch?v=lWA2pjMjpBs,,Rihanna - Diamonds,2012,
25,Johnny Wakelin,In Zaire,https://www.youtube.com/watch?v=gGJIosbxLvQ,,Johnny Wakelin In Zaire 45'lik Plak,1976,
26,Eddie Cochran,C’Mon Everybody,https://www.youtube.com/watch?v=Wl1-uj1UQuk,,CMon Everybody,1958,
27,Mark Ronson,Nothing Breaks Like a Heart (feat. Miley Cyrus),https://www.youtube.com/watch?v=A9hcJgtnm6Q,,Mark Ronson - Nothing Breaks Like a Heart (Official Video) ft. Miley Cyrus,2018,
28,Katy Perry,Roar,https://www.youtube.com/watch?v=CevxZvSJLk8,,Katy Perry - Roar,2013,
29,David Dundas,Jeans On,https://www.youtube.com/watch?v=9SaCg41nVsw,,David Dundas -Jeans On,1976,
30,Prince,Kiss,https://www.youtube.com/watch?v=H9tEvfIsDyo,,Prince & The Revolution - Kiss (Official Music Video),1986,
31,Passenger,Let Her Go,https://www.youtube.com/watch?v=RBumgq5yVrA,,Passenger | Let Her Go (Official Video),2012,
32,Cher,If I Could Turn Back Time,https://www.youtube.com/watch?v=9n3A_-HRFfc,,Cher - If I Could Turn Back Time (Official Video),1989,
33,Seiler und Speer,Ham kummst Single,https://www.youtube.com/watch?v=GWgisTPKCdk,,HSeiler und Speer - Ham kummst,2014,
34,Desmond Dekker,You Can Get It If You Really Want,https://www.youtube.com/watch?v=rQbWO86kXH0,,Desmond Dekker - You Can Get It If You Really Want - 1970,1970,
35,A Fine Frenzy,Almost Lover,https://www.youtube.com/watch?v=I_S_TbD1XFM,,A Fine Frenzy - Almost Lover,2007,
36,Bonnie Tyler,Holding Out for a Hero,https://www.youtube.com/watch?v=bWcASV2sey0,,Bonnie Tyler - Holding Out For A Hero (Official HD Video),1984,
37,Nelly Furtado,Powerless (Say What You Want),https://www.youtube.com/watch?v=ouj5GFOfgYE,,Nelly Furtado - Powerless (Say What You Want) (2003),2003,
38,AC/DC,You Shook Me All Night Long,https://www.youtube.com/watch?v=Lo2qQmj0_h4,,AC/DC - You Shook Me All Night Long (Official 4K Video),1980,
39,Elton John,Nikita,https://www.youtube.com/watch?v=Tg-Q-Acv4qs,,Elton John - Nikita,1985,
40,Michael Patrick Kelly,Beautiful Madness,https://www.youtube.com/watch?v=t_eCNMMyL_Y,,Michael Patrick Kelly - Beautiful Madness (Official Video),2020,
41,Mike + The Mechanics,Word Of Mouth,https://www.youtube.com/watch?v=7jbSwMU7H0w,,Mike + The Mechanics - Word Of Mouth (Official Video),1991,
42,Nik Kershaw,The Riddle,https://www.youtube.com/watch?v=_jT_iwpzQAA,,Nick Kershaw - The Riddle (1984 VH-1 video),1984,
43,The Rolling Stones,Angry,https://www.youtube.com/watch?v=_mEC54eTuGw,,The Rolling Stones - Angry (Official Music Video),2023,
44,Rainhard Fendrich,Weus'd a Herz hast wia a Bergwerk,https://www.youtube.com/watch?v=oTw3tHVkpdc,,Rainhard Fendrich- Weusd a Herz hast wia a Bergwerk (Live),1983,
45,Phil Collins,A Groovy Kind of Love,https://www.youtube.com/watch?v=HsC_SARyPzk,,Phil Collins - A Groovy Kind Of Love (Official Music Video),1988,
46,Nickerbocker & Biene,HALLO KLAUS (I wü zruck zu Dir) ZRUCK ZU DIR (Hallo Klaus) - Orginal '83 (weibliche Version),https://www.youtube.com/watch?v=sQ0UT5YSKWE,,[MUSICAL NOTE] Nickerbocker & Biene - Zruck zu Dir (Hallo Klaus) (1982) (4K [EYE,1982,
47,The McCoys,Hang on Sloopy,https://www.youtube.com/watch?v=NpaT9wXVUHo,,The McCoys - Hang on Sloopy,1965,
48,Aerosmith,Cryin',https://www.youtube.com/watch?v=qfNmyxV2Ncw,,Aerosmith - Cryin' (Official Music Video),1993,
49,Black Sabbath,Paranoid,https://www.youtube.com/watch?v=0qanF-91aJo,,BLACK SABBATH - Paranoid (Official Video),1970,
50,Fats Domino,I'm Walkin',https://www.youtube.com/watch?v=rFJ3CYIEZk8,,Fats Domino - I'm Walkin'  [HD],1957,
51,Joan Baez,The Night They Drove Old Dixie Down,https://www.youtube.com/watch?v=KslFHREKeqE,,Joan Baez - The Night They Drove Old Dixie Down - 1971,1971,
52,Bruce Channel,Hey! Baby,https://www.youtube.com/watch?v=LpgTfYK_uyU,,Hey! Baby (Remastered),1961,
53,Gianna Nannini,Bello e impossibile,https://www.youtube.com/watch?v=xoco58gF8h0,,Gianna Nannini - Bello e impossibile,1986,
54,Mr. Big,Wild World,https://www.youtube.com/watch?v=Za9LY6Q3EuI,,Mr. Big - Wild World (MV),1993,
55,Lobo,I'd Love You to Want Me,https://www.youtube.com/watch?v=uuluv2ehJ4M,,I'd Love You to Want Me,1972,
