Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title,ISRC
1,Hate It Or Love It,The Game,2005,https://www.youtube.com/watch?v=BuMBmK5uksg,3464ac07dfc1489fbb0d75b37608d95b9f084e978a06b3d3acb24e2ef2a4d537,The Game; 50 Cent - Hate It Or Love It (Official Music Video),USIR10401121
2,Liebe,Sido,2013,https://www.youtube.com/watch?v=WsmXm_XSMug,6302dfc7a8292b8a4b475f69868b3eac565adef6bfbbfda14725a7c9d45ed3a0,Sido - Liebe,DEUM71303756
3,Push It,Salt-N-Pepa,1986,https://www.youtube.com/watch?v=vCadcBR95oU,a78031289136c077c92063ea42a40abfa8f118e3639dbf49ff2eb686841ea9f1,Salt-N-Pepa - Push It (Official Music Video),USIR20180482
4,Suga Suga,Baby Bash,2003,https://www.youtube.com/watch?v=6rgStv12dwA,19accec4efda3033e0a1279c4bf7ac99525e9522dcab964b041c7c7d4c557530,Baby Bash - Suga Suga (Official Music Video) ft. Frankie J,USUR10300765
5,2002,Sido,2019,https://www.youtube.com/watch?v=Fo3DAhiNKQo,222975f8e0eb5f8ac05bbea8e81ac2c4be4b2249332c7d97c8e797240ba2c4c9,Apache 207 - ROLLER prod. by Lucry & Suena (Official Video),DEUM71901812
6,Strictly Business,EPMD,1988,https://www.youtube.com/watch?v=5aCYQ1fRQc8,9aab725d29f74c654644825df9dc68d593504b4591ac4a8fa2489dc9d8a148d8,EPMD - Strictly Business (Official Music Video),USPO18800007
7,Dior 2001,RIN,2018,https://www.youtube.com/watch?v=S06J1jvgasc,dd8d84c284c1bec2c040c42ffd0f7b5fe311bbfb5c28afe4773235931e808dea,RIN - Dior 2001 (prod. Alexis Troy) | Lyrics Deutsch-English | SongText,DEQ021803485
8,Ja klar - 1822 Radio Edit,Schwester S.,1995,https://www.youtube.com/watch?v=eu3-QvBTco4,974df250a5726f225c041dea0cef36bc159867f35f91642fe366bcd8d41d790c,Ja klar (1822 Radio Edit),DEP950401172
9,You Got Me,The Roots,1999,https://www.youtube.com/watch?v=MJCHeEQV454,f753d006e1a25d6d42cc860ed7b5f31fc23b7d1bc281da910ab24b9fb5156d4d,The Roots - You Got Me ft. Erykah Badu,USMC19858697
10,Ayo Technology,50 Cent,2007,https://www.youtube.com/watch?v=5RDSkR8_AQ0,0ef5bec0bc40398fe923b929976adc0a84f3dde235887fd3197c88ebcaf86d6a,50 Cent - Ayo Technology (Official Music Video) ft. Justin Timberlake,USUM70735445
11,Sie ist weg,Die Fantastischen Vier,1995,https://www.youtube.com/watch?v=PRPxUo8kW8I,ef1c88bf831fcfbe82db997a72f5936af7b87be9b22be80af7d22459f52f3a5f,Die Fantastischen Vier - Sie Ist Weg (MTV Unplugged Video),DEE869500515
12,Live Your Life,T.I.,2008,https://www.youtube.com/watch?v=uyFpoNQJk1s,a7ca466736a798062e51d0743ffff840bb9e9185cc7379fe99d9f8e26a5e572a,T.I. feat. Rihanna - Live Your Life (Official Video) I Throwback Thursday,USAT20803620
13,Flava in Ya Ear,Craig Mack,1994,https://www.youtube.com/watch?v=GNFqMx0gY7I,c6e9f0cc32c7f3574cb25580db1a3740388ad3946b80e21f150c3755012f5571,Craig Mack - Flava In Ya Ear (Official Music Video),USBB40581290
14,Paint The Town Red,Doja Cat,2023,https://www.youtube.com/watch?v=m4_9TFeMfJE,31e42586df944325eab589985cfc697491e3c5bee9648881e54c44aa3135c499,Doja Cat - Paint The Town Red (Official Video),USRC12300907
15,rockstar (feat. 21 Savage),Post Malone,2017,https://www.youtube.com/watch?v=UceaB4D0jpo,f98e20b41f732815f2e9d85968a91840735d4346c84dc7847f5364ee9a9ce198,Post Malone - rockstar (Official Music Video) ft. 21 Savage,USUM71710087
16,ROCKSTAR (feat. Roddy Ricch),DaBaby,2020,https://www.youtube.com/watch?v=4PDpVNKZgKg,efba6d67bd5a440e53a90eafbc8a68935c1e71878ad7a38069893f7a6bd3aa93,DaBaby - ROCKSTAR (Live From The BET Awards/2020) ft. Roddy Ricch,USUM72007941
17,Big Poppa - 2005 Remaster,The Notorious B.I.G.,1994,https://www.youtube.com/watch?v=phaJXp_zMYM,308978f3f092be67b0a62cccdca8b2be9dde0eae76d91c871b27a8b7f218ea28,The Notorious B.I.G. - Big Poppa (Official Music Video),USBB40580817
18,X Gon' Give It To Ya,DMX,2002,https://www.youtube.com/watch?v=fGx6K90TmCI,d336c1197b4420e21897937b31dc75c77a3dff4ee19ef3f0d104a2a60c31994e,DMX - X Gon' Give It To Ya,USDJ20201342
19,She Will,Lil Wayne,2011,https://www.youtube.com/watch?v=Fw3H8R5hHEY,f0a6bd00dd026580e01c0f96fb16a2e05eaccff6ac6e42e6f1c8db4512ec6298,Lil Wayne - She Will (Visualizer) ft. Drake,USCM51100309
20,Always On Time,Ja Rule,2001,https://www.youtube.com/watch?v=0tcDXJfAFVw,19f908f65ec72e17cba42f321cc8748201cb108e0db1161f9710ac1c470a83be,Ja Rule - Always On Time (Official Music Video) ft. Ashanti,USDJ20110760
21,Heute mit mir,Nimo,2017,https://www.youtube.com/watch?v=fV820VVkHBg,f0d7db89119c1f24c0c7cbeb36db1380928bc190bb0033951901fa7d7805c727,Nimo - Heute mit mir,DEUM71706133
22,Set Adrift On Memory Bliss,P.M. Dawn,1993,https://www.youtube.com/watch?v=BtK_y1n2ERk,648a6ee5a7d0fd4f66fbef6559b42934e8d34944526be3813fa28edb7be3eb97,PM Dawn - Set Adrift On Memory Bliss 1991 (Official Music Video) Remastered,FR8GV1838620
23,Full Clip,Gang Starr,1999,https://www.youtube.com/watch?v=qmj1q67NDAk,d2e90978df1e9e2056fd322bb538790923f3552e02c0f0bbce7e1dd66bf81cce,Gang Starr - Full Clip,USVI29900068
24,m y . l i f e (with 21 Savage & Morray),J. Cole,2021,https://www.youtube.com/watch?v=wLQ8u3xRZd8,91de293cc68ee65ae7d68f52343dc4f0d34f033ec989dff6739f17a7d9f12a6d,J. Cole - m y . l i f e  feat. 21 Savage; Morray (Official Audio),QMJMT2103634
25,The Humpty Dance,Digital Underground,1990,https://www.youtube.com/watch?v=PBsjggc5jHM,5c02932bc6284d5f1331f1e211fc3dcdc04ad61f87c6f0b8bfa9b1d98460c038,Digital Underground - The Humpty Dance (Official Music Video),USTB10300377
26,The Next Episode,Dr. Dre,1999,https://www.youtube.com/watch?v=QZXc39hT8t4,a7527c55dadfc32cc0e6929d880a3d6a0a49a2ca55d89b5afdd094ba970cec19,Dr. Dre - The Next Episode (Official Music Video) ft. Snoop Dogg; Kurupt; Nate D,USIR19915078
27,Sprinter,Dave,2023,https://www.youtube.com/watch?v=6-dsntseHAc,71031d3fb64f3a3885d164e37b9ff786300622066dee6639a273a8002044703f,Central Cee : Sprinter (Official Video) Dave | Central Cee New Song | Central Ce,GBUM72305159
28,Cantaloop (Flip Fantasia),Us3,1992,https://www.youtube.com/watch?v=JwBjhBL9G6U,0b3151b191e91e12b0b7a0fc04bc4846df6bc483ac4497b47a385d0002153675,Us3 - Cantaloop (Flip Fantasia) ft. Rahsaan; Gerard Presencer,USBN29300054
29,Can I Kick It?,A Tribe Called Quest,1990,https://www.youtube.com/watch?v=O3pyCGnZzYA,df02576f2bb5a78a255596cda8744a9ba55d450370d6ba6f1552c365ddc35f47,A Tribe Called Quest - Can I Kick It? (Official HD Video),USJI10300400
30,Weck mich auf,Samy Deluxe,2001,https://www.youtube.com/watch?v=I-GUVYbSxgI,566ae4bdcfaca57aa7a6b58f838fce42512eed1fbad68cbec200cb6e2269ff07,Samy Deluxe - Weck mich auf (Official Video),DEA340100197
31,Airwaves,Pashanim,2020,https://www.youtube.com/watch?v=5Irkyyfd88I,065295959b33c216516b3b65babee49ab1b45749018434832ed5e73f93984ee5,Pashanim - Airwaves,DECE72000342
32,Promiscuous,Nelly Furtado,2006,https://www.youtube.com/watch?v=0J3vgcE5i2o,dec64ad6755937810a0cc93bdf6ec8dc09908948625d6f089e34ae2ffc90c9ba,Nelly Furtado - Promiscuous (Official Music Video) ft. Timbaland,USUM70603473
33,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,2021,https://www.youtube.com/watch?v=UTHLKHL_whs,df212388b4e0401ba1d7916845572948c7603716437121f45c1d3d35fa75a007,Lil Nas X; Jack Harlow - INDUSTRY BABY (Official Video),USSM12104539
34,Rockit,Herbie Hancock,1983,https://www.youtube.com/watch?v=GHhD4PD75zY,0df5307ef217d0bcf25242c853a8e0077d9e9fb8e2e32bf205349065c1541c60,Herbie Hancock - Rockit (Official Video),USSM19804808
35,Cherry Lady,Capital Bra,2019,https://www.youtube.com/watch?v=LS9gWsVv5ao,76b939d0f5d1eaeb1c64e83d6a5a5dbf32ef1df0cd1225fbbd6b92dce1ddac24,Capital Bra ft. Dieter Bohlen - Cherry Lady (Official Video) prod. by Bohlen,DECE71900171
36,Break Ya Neck,Busta Rhymes,2001,https://www.youtube.com/watch?v=W7FfCJb8JZQ,ed956a8e107493a946e86f8e824cddce56886cbe1f90979d83433369e8173f05,Busta Rhymes - Break Ya Neck (Official Video),USJAY0100418
37,Black Beatles,Rae Sremmurd,2016,https://www.youtube.com/watch?v=b8m9zhNAgKs,174e95b79aa16e40f3797cf469924a0f1e2c64c603f66ce8aa9d4cab12b1f0ef,Rae Sremmurd - Black Beatles ft. Gucci Mane (Official Video),USUM71603293
38,Regulate,Warren G,1994,https://www.youtube.com/watch?v=1plPyJdXKIY,f4f73f00a0597b1e467d4f0fba8ed044c5fb563a7af778813532ff66dc876bc4,Warren G - Regulate (Official Music Video) ft. Nate Dogg,USPR39401366
39,X,Xzibit,2000,https://www.youtube.com/watch?v=qJxk1leG1wY,b62b49d44568ba3ecaaea2bf9dca69b9f4becd12f7753f53d9f42af012962597,Xzibit - X,USLR50000796
40,Not Like Us,Kendrick Lamar,2024,https://www.youtube.com/watch?v=H58vbez_m4E,358c3bd8f1febd7d11e16dba5f4380e3bb568bee29298809605dbd4e85ac4dcc,Kendrick Lamar - Not Like Us,USUG12400910
