Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title,ISRC
1,If You Leave Me Now,Chicago,1976,https://www.youtube.com/watch?v=-9_d-sFhmRM,1eabc29ea89ef03c558e4220ba9e799eed808640ca4bd8f01c0e87e47398aaad,Chicago - If You Leave Me Now (Official Audio),USRH10285535
2,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,1987,https://www.youtube.com/watch?v=eH3giaIzONA,5e84556ee3b72e0e40de982af691b150bba49f6589b40e803f8f4265658d1247,Whitney Houston - I Wanna Dance With Somebody (Official 4K Video),USAR18700121
3,Super Freak,Rick James,1981,https://www.youtube.com/watch?v=QYHxGBH6o4M,808e4dd12428fe34155efd3097e2cc4ba285eb8c62d4d9845356f3fd72f479ed,Rick James - Super Freak (Official Music Video),USMO18100048
4,(What A) Wonderful World - Mono,Sam Cooke,1960,https://www.youtube.com/watch?v=R4GLAKEjU4w,91124220bb99da989fc572f9c5a3e6ee3b6c7049138b4d3d86d9719dfbe53b69,Sam Cooke - What A Wonderful World (Official Lyric Video),USA171920056
5,Cheap Thrills,Sia,2015,https://www.youtube.com/watch?v=31crA53Dgu0,e26a26114d3a7f397cdfa2184f35fad1ab7f7c6cad932170028da29665f73934,Sia - Cheap Thrills (Performance Edit),USRC11502935
6,Wrecking Ball,Miley Cyrus,2013,https://www.youtube.com/watch?v=mRFHAvdwXXs,cc934e38d3ffe97b15410dce07a64508e537811ece7ff22b4ea6d622e997b432,Miley Cyrus - Wrecking Ball (Audio),USRC11301214
7,Year 3000,Busted,2002,https://www.youtube.com/watch?v=Tu7HoGZaspo,e63ab49815733861dd2b7601b973929c30f4307fa3cd85ffc84d7f9e17f7119c,Busted - Year 3000,GBAAN0201145
8,Step On,Happy Mondays,1990,https://www.youtube.com/watch?v=mFBQ0PH5rM4,44ae2d5f2d3342f5dc7f75d02b50f46c66cc20a85672ac94887c185978de3a40,Happy Mondays - Step On (Official Video),GBAAP0700180
9,Groove Is in the Heart,Deee-Lite,1990,https://www.youtube.com/watch?v=etviGf1uWlg,b6f81b6b946b04c622882831741695538d7e96fac76e34ecee913131bce0b047,Deee-Lite - Groove Is In The Heart (Official Video),USEE19687204
10,Afternoon Delight,Starland Vocal Band,1976,https://www.youtube.com/watch?v=7JtCA0esyOU,45e23f8ed3c8c4302228e843ae6a2aad7568ebb7317fb8cd3a528443f5e57ea8,Starland Vocal Band - Afternoon Delight (1976) (Official Video),USRZR0491708
11,Get Back,The Beatles,1969,https://www.youtube.com/watch?v=IKJqecxswCA,b12dd7b6e9220731f1f15d62178c054e03b47fcca77a7aa1735479080fe5a824,Get Back (Remastered 2009),GBAYE0601719
